Country,Variable,Mean,S.D.,Min,Max,Skew.,Kurt.,ADF (p-val),ARCH-LM (p-val)
System 1 (US),GenAI Shock,1.715,1.001,0.000,3.109,-0.607,-0.763,0.668,0.000
System 1 (US),Job Insecurity,1.896,0.793,0.000,3.273,-0.842,0.311,0.167,0.000
System 1 (US),Burnout (MDI),2.890,0.229,2.282,3.747,1.026,2.474,0.692,0.000
System 1 (US),Job Quitting,3.022,0.171,2.549,3.747,1.553,5.536,0.742,0.000
System 1 (US),Inflation,0.071,0.063,-0.046,0.301,1.474,2.623,0.000,0.000
System 2 (VN),GenAI Shock,1.307,1.107,0.000,3.360,0.397,-1.214,0.909,0.000
System 2 (VN),Job Insecurity,1.734,0.957,0.000,3.311,-0.846,-0.523,0.000,0.000
System 2 (VN),Burnout (MDI),3.039,0.225,2.342,3.694,-0.363,0.620,0.000,0.000
System 2 (VN),Job Quitting,3.062,0.167,2.175,3.428,-0.828,3.933,0.000,0.447
System 2 (VN),Inflation,0.072,0.071,-0.069,0.301,0.688,0.932,0.002,0.000
