,SHOCK_Index,VOL_Base_Index,MDI_Index,LEARN_Index,ESCAPE_Index,IIP_sa,INFL_sa,EXR,l_SHOCK_Index,l_VOL_Base_Index,l_MDI_Index,l_LEARN_Index,l_ESCAPE_Index,l_INFL_sa,l_IIP_sa,l_EXR
2022-01-09,0.0,0.0,11.4,0.6,20.0,100.82224539820076,0.084322214070176,107.81181999999998,0.0,0.0,2.517696472610991,0.4700036292457356,3.044522437723423,0.084322214070176,4.613359019763363,4.680387299959412
2022-01-16,0.0,0.0,12.2,0.8,19.6,100.80751045239656,0.0842511716168781,106.92812,0.0,0.0,2.580216829592325,0.5877866649021191,3.0252910757955354,0.0842511716168781,4.613212861317966,4.672156833018571
2022-01-23,0.0,0.0,15.4,0.8,21.4,100.79277550659236,0.0841802487710596,107.032325,0.0,0.0,2.797281334830153,0.5877866649021191,3.109060958860994,0.0841802487710596,4.6130666815071555,4.673130891641781
2022-01-30,0.0,0.0,14.4,0.8,21.2,100.77804056078816,0.0841094452307844,108.15076,0.0,0.0,2.7343675094195836,0.5877866649021191,3.100092288878234,0.0841094452307844,4.612920480324683,4.683526179651307
2022-02-06,0.0,0.0,16.6,0.8,22.4,100.76330561498398,0.084038760695404,107.8043,0.0,0.0,2.8678989020441064,0.5877866649021191,3.152736022363656,0.084038760695404,4.6127742577643005,4.68031754636211
2022-02-13,0.0,0.0,14.6,0.6,20.2,100.88918276606206,0.3013254693393197,107.32684,0.0,0.0,2.747270914255491,0.4700036292457356,3.054001181677967,0.3013254693393197,4.614022714140301,4.675878758151878
2022-02-20,0.0,0.0,15.8,0.6,19.2,101.01505991714016,0.3004202266813083,107.76114,0.0,0.0,2.8213788864092133,0.4700036292457356,3.005682604407159,0.3004202266813083,4.61526961381625,4.679917111110739
2022-02-27,0.0,0.0,16.2,0.8,20.4,101.14093706821824,0.2995204067962165,108.223025,0.0,0.0,2.8449093838194073,0.5877866649021191,3.0633909220278057,0.2995204067962165,4.616514960669409,4.68419414414328
2022-03-06,0.0,0.0,16.0,0.8,20.0,101.26681421929632,0.2986259611027275,108.90986,0.0,0.0,2.833213344056216,0.5877866649021191,3.044522437723423,0.2986259611027275,4.617758758562577,4.690520567621706
2022-03-13,0.0,0.0,15.2,0.6,19.6,101.24000294556136,0.0801892629154199,110.02108,0.0,0.0,2.785011242238338,0.4700036292457356,3.0252910757955354,0.0801892629154199,4.617493964771761,4.70067198379615
2022-03-20,0.0,0.0,16.0,0.6,20.4,101.21319167182644,0.0801250112594909,109.83482,0.0,0.0,2.833213344056216,0.4700036292457356,3.0633909220278057,0.0801250112594909,4.617229100846622,4.698977600842937
2022-03-27,0.0,0.0,16.6,0.8,20.4,101.1863803980915,0.0800608624844212,109.51482,0.0,0.0,2.8678989020441064,0.5877866649021191,3.0633909220278057,0.0800608624844212,4.616964166749997,4.696059882564343
2022-04-03,0.0,0.0,17.6,0.6,20.8,101.15956912435657,0.0799968163432751,109.29598,0.0,0.0,2.9231615807191558,0.4700036292457356,3.0819099697950434,0.0799968163432751,4.616699162444696,4.694059615000163
