,SHOCK_Index,VOL_Base_Index,MDI_Index,LEARN_Index,ESCAPE_Index,IIP_sa,INFL_sa,EXR,l_SHOCK_Index,l_VOL_Base_Index,l_MDI_Index,l_LEARN_Index,l_ESCAPE_Index,l_INFL_sa,l_IIP_sa,l_EXR
2022-01-09,0.0,12.8,21.8,27.4,18.4,170.521062633547,0.0847996241213566,22710.0,0.0,2.624668592163159,3.126760535960395,3.3463891451671604,2.9652730660692823,0.0847996241213566,5.13885882360142,10.030560635099604
2022-01-16,0.0,6.6,17.6,18.4,15.4,170.20490529088966,0.0847277752863862,22645.0,0.0,2.028148247292285,2.9231615807191558,2.9652730660692823,2.797281334830153,0.0847277752863862,5.137003036469497,10.027694355990315
2022-01-23,0.0,4.8,11.6,11.8,17.0,169.88874794823232,0.0846560481001956,22630.0,0.0,1.7578579175523736,2.533696813957432,2.5494451709255714,2.8903717578961645,0.0846560481001956,5.135143798987587,10.027031738627583
2022-01-30,0.0,0.0,9.4,5.0,7.8,169.572590605575,0.0845844422540764,22645.0,0.0,0.0,2.341805806147327,1.791759469228055,2.174751721484161,0.0845844422540764,5.1332810983017465,10.027694355990315
2022-02-06,0.0,0.0,13.2,12.6,22.6,169.25643326291765,0.0845129574403857,22680.0,0.0,0.0,2.653241964607215,2.6100697927420065,3.1612467120315646,0.0845129574403857,5.131414921486064,10.029238757841688
2022-02-13,0.0,2.2,15.4,16.6,21.6,169.6308199179293,0.1653643392600212,22785.0,0.0,1.1631508098056809,2.797281334830153,2.8678989020441064,3.1179499062782403,0.1653643392600212,5.133624428062709,10.033857703697983
2022-02-20,0.0,6.6,17.6,17.8,23.2,170.00520657294095,0.1650913370613294,22840.0,0.0,2.028148247292285,2.9231615807191558,2.9338568698359038,3.186352633162641,0.1650913370613294,5.13582906348092,10.036268663769947
2022-02-27,0.0,7.2,18.4,21.4,25.8,170.3795932279526,0.1648192347828647,22835.0,0.0,2.1041341542702074,2.9652730660692823,3.109060958860994,3.288401887516811,0.1648192347828647,5.138028849171726,10.0360497256191
2022-03-06,0.0,14.0,22.2,26.0,25.6,170.75397988296425,0.1645480279822919,22835.0,0.0,2.70805020110221,3.1441522786722644,3.295836866004329,3.2809112157876537,0.1645480279822919,5.1402238064250305,10.0360497256191
2022-03-13,0.2,16.0,31.4,30.2,29.0,171.02567605137918,0.1871705087936437,22865.0,0.18232155679395465,2.833213344056216,3.4781584227982836,3.4404180948154366,3.4011973816621555,0.1871705087936437,5.141813697578171,10.037362636092155
2022-03-20,0.0,10.4,27.8,26.2,28.4,171.2973722197941,0.1868208352856948,22869.0,0.0,2.4336133554004498,3.3603753871419,3.3032169733019514,3.380994674344636,0.1868208352856948,5.143401064989376,10.037537560656384
2022-03-27,0.0,12.2,21.8,23.0,26.0,171.56906838820902,0.1864724658673822,22838.0,0.0,2.580216829592325,3.126760535960395,3.1780538303479458,3.295836866004329,0.1864724658673822,5.144985916658165,10.036181094261593
2022-04-03,0.0,10.0,21.6,20.8,24.0,171.84076455662395,0.186125393256975,22859.0,0.0,2.3978952727983707,3.1179499062782403,3.0819099697950434,3.2188758248682006,0.186125393256975,5.1465682605460765,10.037100191860048
2022-04-10,0.0,5.2,22.0,21.0,23.2,171.70954096250972,0.1240342629340807,22900.0,0.0,1.824549292051046,3.1354942159291497,3.091042453358316,3.186352633162641,0.1240342629340807,5.145804333992161,10.03889218954233
2022-04-17,0.0,9.6,23.0,22.8,23.6,171.57831736839552,0.1238806085343657,22962.0,0.0,2.3608540011180215,3.1780538303479458,3.169685580677429,3.202746442938317,0.1238806085343657,5.145039823408282,10.041595954653758
2022-04-24,0.0,9.6,22.0,22.8,23.8,171.4470937742813,0.1237273343596356,22956.0,0.0,2.3608540011180215,3.1354942159291497,3.169685580677429,3.2108436531709366,0.1237273343596356,5.144274727900761,10.041334619228254
2022-05-01,0.0,8.6,21.0,22.8,23.0,171.31587018016708,0.1235744390003068,22955.0,0.0,2.2617630984737906,3.091042453358316,3.169685580677429,3.1780538303479458,0.1235744390003068,5.143509046573867,10.041291056683322
2022-05-08,0.0,8.4,22.4,21.6,24.0,170.74234963820905,0.1073900878617806,23096.0,0.0,2.2407096892759584,3.152736022363656,3.1179499062782403,3.2188758248682006,0.1073900878617806,5.140155692985709,10.04741472134277
2022-05-15,0.0,2.0,21.0,15.6,20.0,170.168829096251,0.1072748852682492,23140.0,0.0,1.0986122886681098,3.091042453358316,2.8094026953624978,3.044522437723423,0.1072748852682492,5.136791056571349,10.049318000747668
2022-05-22,0.0,0.0,18.6,11.6,18.2,169.59530855429296,0.1071599295767278,23205.0,0.0,0.0,2.975529566236472,2.533696813957432,2.954910279033736,0.1071599295767278,5.133415061149105,10.052123051675276
2022-05-29,0.0,3.0,16.0,12.0,21.0,169.0217880123349,0.1070452199943616,23193.0,0.0,1.3862943611198906,2.833213344056216,2.5649493574615367,3.091042453358316,0.1070452199943616,5.130027629763109,10.051605787988585
2022-06-05,0.0,4.8,17.2,12.0,19.2,168.44826747037686,0.106930755731649,23155.0,0.0,1.7578579175523736,2.9014215940827497,2.5649493574615367,3.005682604407159,0.106930755731649,5.126628684672788,10.049966018914853
2022-06-12,0.0,3.6,19.8,11.0,17.4,168.51543129613444,0.0652954948412887,23232.0,0.0,1.5260563034950492,3.0349529867072724,2.4849066497880004,2.91235066461494,0.0652954948412887,5.127027325991677,10.053285917624523
2022-06-19,0.0,0.0,19.0,10.2,19.2,168.582595121892,0.0652528876454061,23244.0,0.0,0.0,2.995732273553991,2.4159137783010487,3.005682604407159,0.0652528876454061,5.127425808458988,10.053802313194996
2022-06-26,0.0,0.0,14.8,10.2,19.0,168.6497589476496,0.0652103360180955,23255.0,0.0,0.0,2.760009940032921,2.4159137783010487,2.995732273553991,0.0652103360180955,5.127824132201269,10.054275441658197
2022-07-03,0.0,0.0,13.4,9.4,18.0,168.71692277340716,0.0651678398507549,23350.0,0.0,0.0,2.667228206581955,2.341805806147327,2.9444389791664403,0.0651678398507549,5.128222297344918,10.058352263097044
2022-07-10,0.0,0.0,16.0,8.0,17.2,168.51775610674048,0.0128154213075326,23415.0,0.0,0.0,2.833213344056216,2.1972245773362196,2.9014215940827497,0.0128154213075326,5.127041121728673,10.061132121617643
2022-07-17,0.0,0.0,18.0,7.6,17.8,168.31858944007382,0.0128137791677529,23410.0,0.0,0.0,2.9444389791664403,2.151762203259462,2.9338568698359038,0.0128137791677529,5.125858549286533,10.060918560484957
2022-07-24,0.0,0.0,17.8,8.2,17.6,168.11942277340714,0.0128121374487477,23358.0,0.0,0.0,2.9338568698359038,2.2192034840549946,2.9231615807191558,0.0128121374487477,5.1246745767108886,10.05869481683851
2022-07-31,0.0,0.0,16.6,8.0,17.6,167.92025610674048,0.0128104961503616,23393.0,0.0,0.0,2.8678989020441064,2.1972245773362196,2.9231615807191558,0.0128104961503616,5.1234892006823705,10.060192111293768
2022-08-07,0.0,0.0,13.4,8.0,16.0,167.7210894400738,0.0128088552724614,23390.0,0.0,0.0,2.667228206581955,2.1972245773362196,2.833213344056216,0.0128088552724614,5.12230241786979,10.060063859578225
2022-08-14,0.0,0.0,17.4,8.0,17.6,167.8867144400738,0.0346053287512138,23401.0,0.0,0.0,2.91235066461494,2.1972245773362196,2.9231615807191558,0.0346053287512138,5.123289433138989,10.060534035475412
2022-08-21,0.0,0.0,16.8,7.4,17.2,168.0523394400738,0.0345933576060941,23423.0,0.0,0.0,2.8791984572980396,2.128231705849268,2.9014215940827497,0.0345933576060941,5.1242754751695685,10.06147372459291
2022-08-28,0.0,0.0,15.8,6.4,16.2,168.2179644400738,0.0345813947405515,23450.0,0.0,0.0,2.8213788864092133,2.0014800002101243,2.8449093838194073,0.0345813947405515,5.125260545878947,10.062625773874425
2022-09-04,0.0,0.0,17.6,9.4,17.8,168.3835894400738,0.0345694401459928,23542.0,0.0,0.0,2.9231615807191558,2.341805806147327,2.9338568698359038,0.0345694401459928,5.126244647178881,10.066541338972426
2022-09-11,0.0,0.0,16.0,12.4,17.4,168.03343555749802,0.0609070746857121,23620.0,0.0,0.0,2.833213344056216,2.5952547069568657,2.91235066461494,0.0609070746857121,5.124162980776756,10.069849089751353
2022-09-18,0.0,5.0,20.6,12.6,18.0,167.68328167492228,0.0608700005489959,23700.0,0.0,1.791759469228055,3.0726933146901194,2.6100697927420065,2.9444389791664403,0.0608700005489959,5.122076971998671,10.073230327123223
2022-09-25,0.0,4.8,17.4,13.0,19.0,167.33312779234654,0.0608329715189093,23820.0,0.0,1.7578579175523736,2.91235066461494,2.6390573296152584,2.995732273553991,0.0608329715189093,5.1199866026902745,10.07828084290929
2022-10-02,0.0,2.8,17.2,12.8,19.8,166.98297390977078,0.0607959875131625,23870.0,0.0,1.33500106673234,2.9014215940827497,2.624668592163159,3.0349529867072724,0.0607959875131625,5.117891854583129,10.080377719332876
2022-10-09,0.0,4.4,21.4,15.4,18.8,166.21463110674048,0.0943729168401574,24120.0,0.0,1.6863989535702288,3.109060958860994,2.797281334830153,2.9856819377004897,0.0943729168401574,5.113279911679875,10.090796650841122
2022-10-16,0.0,19.8,18.8,16.2,16.6,165.44628830371016,0.0942839383374138,24530.0,0.0,3.0349529867072724,2.9856819377004897,2.8449093838194073,2.8678989020441064,0.0942839383374138,5.108646600170435,10.107652137252535
