Country,Model,Dependent,Regressor,LR_coef
US,M1_JobInsec,Job Insecurity,GenAI Shock,0.40997
US,M1_JobInsec,Job Insecurity,AI Volatility,-0.09439
US,M1_JobInsec,Job Insecurity,CPI,28.64492
US,M1_JobInsec,Job Insecurity,IIP,-0.21139
US,M1_JobInsec,Job Insecurity,Exchange Rate,-0.29314
US,M2_Burnout,Burnout (MDI),GenAI Shock,0.31075
US,M2_Burnout,Burnout (MDI),AI Volatility,-0.15501
US,M2_Burnout,Burnout (MDI),Job Insecurity,0.0916
US,M2_Burnout,Burnout (MDI),CPI,-5.564
US,M2_Burnout,Burnout (MDI),IIP,4.25249
US,M3_JobQuitting,Job Quitting,GenAI Shock,0.04939
US,M3_JobQuitting,Job Quitting,AI Volatility,0.08369
US,M3_JobQuitting,Job Quitting,Burnout (MDI),0.28494
US,M3_JobQuitting,Job Quitting,Job Insecurity,0.0184
US,M3_JobQuitting,Job Quitting,Exchange Rate,0.22207
VN,M1_JobInsec,Job Insecurity,GenAI Shock,9.00441
VN,M1_JobInsec,Job Insecurity,AI Volatility,6.33137
VN,M1_JobInsec,Job Insecurity,CPI,15.73706
VN,M1_JobInsec,Job Insecurity,IIP,-45.97323
VN,M1_JobInsec,Job Insecurity,Exchange Rate,108.34771
VN,M2_Burnout,Burnout (MDI),GenAI Shock,0.06057
VN,M2_Burnout,Burnout (MDI),AI Volatility,0.00378
VN,M2_Burnout,Burnout (MDI),Job Insecurity,0.04641
VN,M2_Burnout,Burnout (MDI),CPI,-0.60094
VN,M2_Burnout,Burnout (MDI),IIP,-1.28745
VN,M3_JobQuitting,Job Quitting,GenAI Shock,0.71365
VN,M3_JobQuitting,Job Quitting,AI Volatility,0.13479
VN,M3_JobQuitting,Job Quitting,Burnout (MDI),1.05672
VN,M3_JobQuitting,Job Quitting,Job Insecurity,0.02156
VN,M3_JobQuitting,Job Quitting,Exchange Rate,-2.63111
