label,rmse,mae,dir_acc,country,model
ECM-OLS,0.18629737027266122,0.13500113717992415,0.6571428571428571,US,M1_JobInsec
RF(depth=4),0.1403425187809923,0.10512017742590474,0.5428571428571428,US,M1_JobInsec
Naive (Δy=0),0.14257619471846392,0.10956754764065607,0.02857142857142857,US,M1_JobInsec
ECM-OLS,0.21890492436646797,0.15957413775880513,0.5142857142857142,US,M2_Burnout
RF(depth=4),0.20975327004102975,0.13977180499946057,0.6285714285714286,US,M2_Burnout
Naive (Δy=0),0.1410237634849517,0.10090216978334156,0.02857142857142857,US,M2_Burnout
ECM-OLS,0.12798397667129668,0.09748408858760527,0.6,US,M3_JobQuitting
RF(depth=4),0.1129253579285295,0.08802831757631215,0.45714285714285713,US,M3_JobQuitting
Naive (Δy=0),0.11521837158036151,0.08190247937736743,0.05714285714285714,US,M3_JobQuitting
ECM-OLS,0.7462071493270155,0.5336966257082959,0.7428571428571429,VN,M1_JobInsec
RF(depth=4),0.8353815408592395,0.5961557463632117,0.7142857142857143,VN,M1_JobInsec
Naive (Δy=0),1.0626657134204007,0.7335838684254442,0.0,VN,M1_JobInsec
ECM-OLS,0.2079140887596502,0.14960341685026346,0.5142857142857142,VN,M2_Burnout
RF(depth=4),0.20867048608558883,0.14467317123776124,0.6285714285714286,VN,M2_Burnout
Naive (Δy=0),0.2095044189520384,0.14313078428596637,0.02857142857142857,VN,M2_Burnout
ECM-OLS,0.16160552437578202,0.10845428934418092,0.5588235294117647,VN,M3_JobQuitting
RF(depth=4),0.15142200487576993,0.08519877311545047,0.47058823529411764,VN,M3_JobQuitting
Naive (Δy=0),0.1921418401103792,0.09328332538760482,0.058823529411764705,VN,M3_JobQuitting
