country,response,shock,week,share_pct
US,AI Volatility,AI Volatility,1,100.0
US,AI Volatility,AI Volatility,2,16.23587
US,AI Volatility,AI Volatility,3,2.75975
US,AI Volatility,AI Volatility,4,5.10528
US,AI Volatility,AI Volatility,5,4.67415
US,AI Volatility,GenAI Shock,1,0.0
US,AI Volatility,GenAI Shock,2,83.76413
US,AI Volatility,GenAI Shock,3,23.30525
US,AI Volatility,GenAI Shock,4,49.21211
US,AI Volatility,GenAI Shock,5,38.47209
US,AI Volatility,Job Insecurity,1,0.0
US,AI Volatility,Job Insecurity,2,0.0
US,AI Volatility,Job Insecurity,3,73.935
US,AI Volatility,Job Insecurity,4,7.6659
US,AI Volatility,Job Insecurity,5,7.56758
US,AI Volatility,Burnout (MDI),1,0.0
US,AI Volatility,Burnout (MDI),2,0.0
US,AI Volatility,Burnout (MDI),3,0.0
US,AI Volatility,Burnout (MDI),4,38.01671
US,AI Volatility,Burnout (MDI),5,16.44284
US,AI Volatility,Job Quitting,1,0.0
US,AI Volatility,Job Quitting,2,0.0
US,AI Volatility,Job Quitting,3,0.0
US,AI Volatility,Job Quitting,4,0.0
US,AI Volatility,Job Quitting,5,32.84334
US,GenAI Shock,AI Volatility,1,97.69947
US,GenAI Shock,AI Volatility,2,15.55977
US,GenAI Shock,AI Volatility,3,2.74204
US,GenAI Shock,AI Volatility,4,5.92396
US,GenAI Shock,AI Volatility,5,4.6132
US,GenAI Shock,GenAI Shock,1,0.06538
US,GenAI Shock,GenAI Shock,2,83.91012
US,GenAI Shock,GenAI Shock,3,23.29534
US,GenAI Shock,GenAI Shock,4,48.52193
US,GenAI Shock,GenAI Shock,5,38.68116
US,GenAI Shock,Job Insecurity,1,1.2114
US,GenAI Shock,Job Insecurity,2,0.12393
US,GenAI Shock,Job Insecurity,3,73.4988
US,GenAI Shock,Job Insecurity,4,7.55864
US,GenAI Shock,Job Insecurity,5,7.27467
US,GenAI Shock,Burnout (MDI),1,1.01651
US,GenAI Shock,Burnout (MDI),2,0.28387
US,GenAI Shock,Burnout (MDI),3,0.33416
US,GenAI Shock,Burnout (MDI),4,37.49529
US,GenAI Shock,Burnout (MDI),5,16.51774
US,GenAI Shock,Job Quitting,1,0.00724
US,GenAI Shock,Job Quitting,2,0.12232
US,GenAI Shock,Job Quitting,3,0.12968
US,GenAI Shock,Job Quitting,4,0.50018
US,GenAI Shock,Job Quitting,5,32.91322
US,Job Insecurity,AI Volatility,1,96.79782
US,Job Insecurity,AI Volatility,2,15.96138
US,Job Insecurity,AI Volatility,3,2.76233
US,Job Insecurity,AI Volatility,4,6.39766
US,Job Insecurity,AI Volatility,5,4.6379
US,Job Insecurity,GenAI Shock,1,0.31969
US,Job Insecurity,GenAI Shock,2,83.50303
US,Job Insecurity,GenAI Shock,3,23.3624
US,Job Insecurity,GenAI Shock,4,48.26484
US,Job Insecurity,GenAI Shock,5,38.65843
US,Job Insecurity,Job Insecurity,1,1.66884
US,Job Insecurity,Job Insecurity,2,0.12337
US,Job Insecurity,Job Insecurity,3,73.37409
US,Job Insecurity,Job Insecurity,4,7.52041
US,Job Insecurity,Job Insecurity,5,7.26069
US,Job Insecurity,Burnout (MDI),1,1.20673
US,Job Insecurity,Burnout (MDI),2,0.29005
US,Job Insecurity,Burnout (MDI),3,0.36389
US,Job Insecurity,Burnout (MDI),4,37.25797
US,Job Insecurity,Burnout (MDI),5,16.521
US,Job Insecurity,Job Quitting,1,0.00692
US,Job Insecurity,Job Quitting,2,0.12217
US,Job Insecurity,Job Quitting,3,0.13729
US,Job Insecurity,Job Quitting,4,0.55912
US,Job Insecurity,Job Quitting,5,32.92197
US,Burnout (MDI),AI Volatility,1,96.35043
US,Burnout (MDI),AI Volatility,2,16.31115
US,Burnout (MDI),AI Volatility,3,2.82268
US,Burnout (MDI),AI Volatility,4,6.62562
US,Burnout (MDI),AI Volatility,5,4.63979
US,Burnout (MDI),GenAI Shock,1,0.50862
US,Burnout (MDI),GenAI Shock,2,83.13097
US,Burnout (MDI),GenAI Shock,3,23.34757
US,Burnout (MDI),GenAI Shock,4,48.13166
US,Burnout (MDI),GenAI Shock,5,38.6564
US,Burnout (MDI),Job Insecurity,1,1.87244
US,Burnout (MDI),Job Insecurity,2,0.13434
US,Burnout (MDI),Job Insecurity,3,73.32826
US,Burnout (MDI),Job Insecurity,4,7.51263
US,Burnout (MDI),Job Insecurity,5,7.26025
US,Burnout (MDI),Burnout (MDI),1,1.26199
US,Burnout (MDI),Burnout (MDI),2,0.30172
US,Burnout (MDI),Burnout (MDI),3,0.36421
US,Burnout (MDI),Burnout (MDI),4,37.16776
US,Burnout (MDI),Burnout (MDI),5,16.52259
US,Burnout (MDI),Job Quitting,1,0.00653
US,Burnout (MDI),Job Quitting,2,0.12183
US,Burnout (MDI),Job Quitting,3,0.13727
US,Burnout (MDI),Job Quitting,4,0.56232
US,Burnout (MDI),Job Quitting,5,32.92098
US,Job Quitting,AI Volatility,1,96.12389
US,Job Quitting,AI Volatility,2,16.53911
US,Job Quitting,AI Volatility,3,2.86164
US,Job Quitting,AI Volatility,4,6.76772
US,Job Quitting,AI Volatility,5,4.64437
US,Job Quitting,GenAI Shock,1,0.60511
US,Job Quitting,GenAI Shock,2,82.88962
US,Job Quitting,GenAI Shock,3,23.33777
US,Job Quitting,GenAI Shock,4,48.05744
US,Job Quitting,GenAI Shock,5,38.65477
US,Job Quitting,Job Insecurity,1,1.97458
US,Job Quitting,Job Insecurity,2,0.14355
US,Job Quitting,Job Insecurity,3,73.29828
US,Job Quitting,Job Insecurity,4,7.50548
US,Job Quitting,Job Insecurity,5,7.25988
US,Job Quitting,Burnout (MDI),1,1.29022
US,Job Quitting,Burnout (MDI),2,0.30626
US,Job Quitting,Burnout (MDI),3,0.3651
US,Job Quitting,Burnout (MDI),4,37.10761
US,Job Quitting,Burnout (MDI),5,16.52165
US,Job Quitting,Job Quitting,1,0.00619
US,Job Quitting,Job Quitting,2,0.12147
US,Job Quitting,Job Quitting,3,0.13721
US,Job Quitting,Job Quitting,4,0.56175
US,Job Quitting,Job Quitting,5,32.91935
