country,response,shock,horizon_week,share
US,AI Volatility,AI Volatility,1,1.0
US,AI Volatility,AI Volatility,2,0.123821
US,AI Volatility,AI Volatility,3,0.013968
US,AI Volatility,AI Volatility,4,0.040735
US,AI Volatility,AI Volatility,5,0.059419
US,AI Volatility,GenAI shock,1,0.0
US,AI Volatility,GenAI shock,2,0.876179
US,AI Volatility,GenAI shock,3,0.147194
US,AI Volatility,GenAI shock,4,0.402444
US,AI Volatility,GenAI shock,5,0.310072
US,AI Volatility,Job Insecurity,1,0.0
US,AI Volatility,Job Insecurity,2,0.0
US,AI Volatility,Job Insecurity,3,0.838838
US,AI Volatility,Job Insecurity,4,0.065221
US,AI Volatility,Job Insecurity,5,0.053026
US,AI Volatility,Burnout (MDI),1,0.0
US,AI Volatility,Burnout (MDI),2,0.0
US,AI Volatility,Burnout (MDI),3,0.0
US,AI Volatility,Burnout (MDI),4,0.491601
US,AI Volatility,Burnout (MDI),5,0.192032
US,AI Volatility,Job Quitting,1,0.0
US,AI Volatility,Job Quitting,2,0.0
US,AI Volatility,Job Quitting,3,0.0
US,AI Volatility,Job Quitting,4,0.0
US,AI Volatility,Job Quitting,5,0.38545
US,GenAI shock,AI Volatility,1,0.924062
US,GenAI shock,AI Volatility,2,0.121449
US,GenAI shock,AI Volatility,3,0.0141
US,GenAI shock,AI Volatility,4,0.048633
US,GenAI shock,AI Volatility,5,0.059882
US,GenAI shock,GenAI shock,1,0.027734
US,GenAI shock,GenAI shock,2,0.872046
US,GenAI shock,GenAI shock,3,0.150491
US,GenAI shock,GenAI shock,4,0.396883
US,GenAI shock,GenAI shock,5,0.31274
US,GenAI shock,Job Insecurity,1,0.015053
US,GenAI shock,Job Insecurity,2,0.000183
US,GenAI shock,Job Insecurity,3,0.830728
US,GenAI shock,Job Insecurity,4,0.064438
US,GenAI shock,Job Insecurity,5,0.050615
US,GenAI shock,Burnout (MDI),1,0.028071
US,GenAI shock,Burnout (MDI),2,0.005997
US,GenAI shock,Burnout (MDI),3,0.004167
US,GenAI shock,Burnout (MDI),4,0.483854
US,GenAI shock,Burnout (MDI),5,0.189544
US,GenAI shock,Job Quitting,1,0.00508
US,GenAI shock,Job Quitting,2,0.000325
US,GenAI shock,Job Quitting,3,0.000515
US,GenAI shock,Job Quitting,4,0.006192
US,GenAI shock,Job Quitting,5,0.387218
US,Job Insecurity,AI Volatility,1,0.898719
US,Job Insecurity,AI Volatility,2,0.123094
US,Job Insecurity,AI Volatility,3,0.014079
US,Job Insecurity,AI Volatility,4,0.053601
US,Job Insecurity,AI Volatility,5,0.059888
US,Job Insecurity,GenAI shock,1,0.050578
US,Job Insecurity,GenAI shock,2,0.870271
US,Job Insecurity,GenAI shock,3,0.151476
US,Job Insecurity,GenAI shock,4,0.395485
US,Job Insecurity,GenAI shock,5,0.312583
US,Job Insecurity,Job Insecurity,1,0.017573
US,Job Insecurity,Job Insecurity,2,0.000193
US,Job Insecurity,Job Insecurity,3,0.82952
US,Job Insecurity,Job Insecurity,4,0.064056
US,Job Insecurity,Job Insecurity,5,0.050519
US,Job Insecurity,Burnout (MDI),1,0.027783
US,Job Insecurity,Burnout (MDI),2,0.006067
US,Job Insecurity,Burnout (MDI),3,0.004403
US,Job Insecurity,Burnout (MDI),4,0.480352
US,Job Insecurity,Burnout (MDI),5,0.189409
US,Job Insecurity,Job Quitting,1,0.005348
US,Job Insecurity,Job Quitting,2,0.000375
US,Job Insecurity,Job Quitting,3,0.000522
US,Job Insecurity,Job Quitting,4,0.006506
US,Job Insecurity,Job Quitting,5,0.387601
