country,shock,response,week,irf,irf_units
US,AI Volatility,AI Volatility,0,1.0,standardized (σ)
US,AI Volatility,AI Volatility,1,0.7621397,standardized (σ)
US,AI Volatility,AI Volatility,2,0.5796391,standardized (σ)
US,AI Volatility,AI Volatility,3,0.4327355,standardized (σ)
US,AI Volatility,AI Volatility,4,0.3219889,standardized (σ)
US,AI Volatility,AI Volatility,5,0.2391809,standardized (σ)
US,AI Volatility,AI Volatility,6,0.1775803,standardized (σ)
US,AI Volatility,AI Volatility,7,0.13182,standardized (σ)
US,AI Volatility,AI Volatility,8,0.0978453,standardized (σ)
US,AI Volatility,AI Volatility,9,0.0726255,standardized (σ)
US,AI Volatility,AI Volatility,10,0.0539057,standardized (σ)
US,AI Volatility,AI Volatility,11,0.040011,standardized (σ)
US,AI Volatility,AI Volatility,12,0.0296977,standardized (σ)
US,AI Volatility,AI Volatility,13,0.0220428,standardized (σ)
US,AI Volatility,AI Volatility,14,0.016361,standardized (σ)
US,AI Volatility,AI Volatility,15,0.0121438,standardized (σ)
US,AI Volatility,AI Volatility,16,0.0090136,standardized (σ)
US,AI Volatility,AI Volatility,17,0.0066902,standardized (σ)
US,AI Volatility,AI Volatility,18,0.0049658,standardized (σ)
US,AI Volatility,AI Volatility,19,0.0036858,standardized (σ)
US,AI Volatility,AI Volatility,20,0.0027357,standardized (σ)
US,AI Volatility,AI Volatility,21,0.0020306,standardized (σ)
US,AI Volatility,AI Volatility,22,0.0015072,standardized (σ)
US,AI Volatility,AI Volatility,23,0.0011187,standardized (σ)
US,AI Volatility,AI Volatility,24,0.0008303,standardized (σ)
US,AI Volatility,AI Volatility,25,0.0006163,standardized (σ)
US,AI Volatility,AI Volatility,26,0.0004574,standardized (σ)
US,AI Volatility,GenAI Shock,0,0.0,standardized (σ)
US,AI Volatility,GenAI Shock,1,-0.1266766,standardized (σ)
US,AI Volatility,GenAI Shock,2,-0.1282618,standardized (σ)
US,AI Volatility,GenAI Shock,3,-0.1029151,standardized (σ)
US,AI Volatility,GenAI Shock,4,-0.0785857,standardized (σ)
US,AI Volatility,GenAI Shock,5,-0.0588699,standardized (σ)
US,AI Volatility,GenAI Shock,6,-0.0438404,standardized (σ)
US,AI Volatility,GenAI Shock,7,-0.0325769,standardized (σ)
US,AI Volatility,GenAI Shock,8,-0.0241895,standardized (σ)
US,AI Volatility,GenAI Shock,9,-0.0179569,standardized (σ)
US,AI Volatility,GenAI Shock,10,-0.013329,standardized (σ)
US,AI Volatility,GenAI Shock,11,-0.0098934,standardized (σ)
US,AI Volatility,GenAI Shock,12,-0.0073433,standardized (σ)
US,AI Volatility,GenAI Shock,13,-0.0054505,standardized (σ)
US,AI Volatility,GenAI Shock,14,-0.0040456,standardized (σ)
US,AI Volatility,GenAI Shock,15,-0.0030028,standardized (σ)
US,AI Volatility,GenAI Shock,16,-0.0022288,standardized (σ)
US,AI Volatility,GenAI Shock,17,-0.0016543,standardized (σ)
US,AI Volatility,GenAI Shock,18,-0.0012279,standardized (σ)
US,AI Volatility,GenAI Shock,19,-0.0009114,standardized (σ)
US,AI Volatility,GenAI Shock,20,-0.0006765,standardized (σ)
US,AI Volatility,GenAI Shock,21,-0.0005021,standardized (σ)
US,AI Volatility,GenAI Shock,22,-0.0003727,standardized (σ)
US,AI Volatility,GenAI Shock,23,-0.0002766,standardized (σ)
US,AI Volatility,GenAI Shock,24,-0.0002053,standardized (σ)
US,AI Volatility,GenAI Shock,25,-0.0001524,standardized (σ)
US,AI Volatility,GenAI Shock,26,-0.0001131,standardized (σ)
US,AI Volatility,Job Insecurity,0,0.0,standardized (σ)
US,AI Volatility,Job Insecurity,1,0.0453535,standardized (σ)
US,AI Volatility,Job Insecurity,2,0.043314,standardized (σ)
US,AI Volatility,Job Insecurity,3,0.0377884,standardized (σ)
US,AI Volatility,Job Insecurity,4,0.0289897,standardized (σ)
US,AI Volatility,Job Insecurity,5,0.0218382,standardized (σ)
US,AI Volatility,Job Insecurity,6,0.0162814,standardized (σ)
US,AI Volatility,Job Insecurity,7,0.012105,standardized (σ)
US,AI Volatility,Job Insecurity,8,0.0089899,standardized (σ)
US,AI Volatility,Job Insecurity,9,0.006674,standardized (σ)
