country,shock,response,horizon_week,irf_value
US,AI Volatility,AI Volatility,0,1.0
US,AI Volatility,AI Volatility,1,0.725353
US,AI Volatility,AI Volatility,2,0.523694
US,AI Volatility,AI Volatility,3,0.370509
US,AI Volatility,AI Volatility,4,0.261814
US,AI Volatility,AI Volatility,5,0.184876
US,AI Volatility,AI Volatility,6,0.130531
US,AI Volatility,AI Volatility,7,0.092158
US,AI Volatility,AI Volatility,8,0.065065
US,AI Volatility,AI Volatility,9,0.045937
US,AI Volatility,AI Volatility,10,0.032432
US,AI Volatility,AI Volatility,11,0.022897
US,AI Volatility,AI Volatility,12,0.016166
US,AI Volatility,AI Volatility,13,0.011413
US,AI Volatility,AI Volatility,14,0.008058
US,AI Volatility,AI Volatility,15,0.005689
US,AI Volatility,AI Volatility,16,0.004016
US,AI Volatility,AI Volatility,17,0.002836
US,AI Volatility,AI Volatility,18,0.002002
US,AI Volatility,AI Volatility,19,0.001413
US,AI Volatility,AI Volatility,20,0.000998
US,AI Volatility,AI Volatility,21,0.000705
US,AI Volatility,AI Volatility,22,0.000497
US,AI Volatility,AI Volatility,23,0.000351
US,AI Volatility,AI Volatility,24,0.000248
US,AI Volatility,AI Volatility,25,0.000175
US,AI Volatility,AI Volatility,26,0.000124
US,AI Volatility,GenAI shock,0,0.0
US,AI Volatility,GenAI shock,1,-0.163289
US,AI Volatility,GenAI shock,2,-0.160188
US,AI Volatility,GenAI shock,3,-0.114931
US,AI Volatility,GenAI shock,4,-0.081983
US,AI Volatility,GenAI shock,5,-0.05797
US,AI Volatility,GenAI shock,6,-0.040954
US,AI Volatility,GenAI shock,7,-0.028916
US,AI Volatility,GenAI shock,8,-0.020416
US,AI Volatility,GenAI shock,9,-0.014414
US,AI Volatility,GenAI shock,10,-0.010177
US,AI Volatility,GenAI shock,11,-0.007185
US,AI Volatility,GenAI shock,12,-0.005073
US,AI Volatility,GenAI shock,13,-0.003581
US,AI Volatility,GenAI shock,14,-0.002528
US,AI Volatility,GenAI shock,15,-0.001785
US,AI Volatility,GenAI shock,16,-0.00126
US,AI Volatility,GenAI shock,17,-0.00089
US,AI Volatility,GenAI shock,18,-0.000628
US,AI Volatility,GenAI shock,19,-0.000444
US,AI Volatility,GenAI shock,20,-0.000313
US,AI Volatility,GenAI shock,21,-0.000221
US,AI Volatility,GenAI shock,22,-0.000156
US,AI Volatility,GenAI shock,23,-0.00011
US,AI Volatility,GenAI shock,24,-7.8e-05
US,AI Volatility,GenAI shock,25,-5.5e-05
US,AI Volatility,GenAI shock,26,-3.9e-05
US,AI Volatility,Job Insecurity,0,0.0
US,AI Volatility,Job Insecurity,1,0.084423
US,AI Volatility,Job Insecurity,2,0.082156
US,AI Volatility,Job Insecurity,3,0.078488
US,AI Volatility,Job Insecurity,4,0.05766
US,AI Volatility,Job Insecurity,5,0.041217
US,AI Volatility,Job Insecurity,6,0.029173
US,AI Volatility,Job Insecurity,7,0.020613
US,AI Volatility,Job Insecurity,8,0.014555
US,AI Volatility,Job Insecurity,9,0.010276
US,AI Volatility,Job Insecurity,10,0.007255
US,AI Volatility,Job Insecurity,11,0.005122
US,AI Volatility,Job Insecurity,12,0.003616
US,AI Volatility,Job Insecurity,13,0.002553
US,AI Volatility,Job Insecurity,14,0.001803
US,AI Volatility,Job Insecurity,15,0.001273
US,AI Volatility,Job Insecurity,16,0.000899
US,AI Volatility,Job Insecurity,17,0.000634
US,AI Volatility,Job Insecurity,18,0.000448
US,AI Volatility,Job Insecurity,19,0.000316
US,AI Volatility,Job Insecurity,20,0.000223
US,AI Volatility,Job Insecurity,21,0.000158
US,AI Volatility,Job Insecurity,22,0.000111
US,AI Volatility,Job Insecurity,23,7.9e-05
US,AI Volatility,Job Insecurity,24,5.5e-05
US,AI Volatility,Job Insecurity,25,3.9e-05
US,AI Volatility,Job Insecurity,26,2.8e-05
US,AI Volatility,Burnout (MDI),0,0.0
US,AI Volatility,Burnout (MDI),1,-0.312218
US,AI Volatility,Burnout (MDI),2,-0.196078
US,AI Volatility,Burnout (MDI),3,-0.143099
US,AI Volatility,Burnout (MDI),4,-0.100734
US,AI Volatility,Burnout (MDI),5,-0.071284
US,AI Volatility,Burnout (MDI),6,-0.050302
US,AI Volatility,Burnout (MDI),7,-0.035524
US,AI Volatility,Burnout (MDI),8,-0.025078
US,AI Volatility,Burnout (MDI),9,-0.017706
US,AI Volatility,Burnout (MDI),10,-0.012501
US,AI Volatility,Burnout (MDI),11,-0.008826
US,AI Volatility,Burnout (MDI),12,-0.006231
US,AI Volatility,Burnout (MDI),13,-0.004399
US,AI Volatility,Burnout (MDI),14,-0.003106
US,AI Volatility,Burnout (MDI),15,-0.002193
US,AI Volatility,Burnout (MDI),16,-0.001548
US,AI Volatility,Burnout (MDI),17,-0.001093
US,AI Volatility,Burnout (MDI),18,-0.000772
