country,response,shock,horizon_week,share
VN,AI Volatility,AI Volatility,1,1.0
VN,AI Volatility,AI Volatility,2,0.000491
VN,AI Volatility,AI Volatility,3,0.007226
VN,AI Volatility,AI Volatility,4,0.000619
VN,AI Volatility,AI Volatility,5,0.000478
VN,AI Volatility,GenAI shock,1,0.0
VN,AI Volatility,GenAI shock,2,0.999509
VN,AI Volatility,GenAI shock,3,0.135426
VN,AI Volatility,GenAI shock,4,0.090062
VN,AI Volatility,GenAI shock,5,0.085339
VN,AI Volatility,Job Insecurity,1,0.0
VN,AI Volatility,Job Insecurity,2,0.0
VN,AI Volatility,Job Insecurity,3,0.857349
VN,AI Volatility,Job Insecurity,4,0.173391
VN,AI Volatility,Job Insecurity,5,0.078329
VN,AI Volatility,Burnout (MDI),1,0.0
VN,AI Volatility,Burnout (MDI),2,0.0
VN,AI Volatility,Burnout (MDI),3,0.0
VN,AI Volatility,Burnout (MDI),4,0.735929
VN,AI Volatility,Burnout (MDI),5,0.188526
VN,AI Volatility,Job Quitting,1,0.0
VN,AI Volatility,Job Quitting,2,0.0
VN,AI Volatility,Job Quitting,3,0.0
VN,AI Volatility,Job Quitting,4,0.0
VN,AI Volatility,Job Quitting,5,0.647328
VN,GenAI shock,AI Volatility,1,0.720257
VN,GenAI shock,AI Volatility,2,0.000726
VN,GenAI shock,AI Volatility,3,0.027708
VN,GenAI shock,AI Volatility,4,0.009486
VN,GenAI shock,AI Volatility,5,0.0139
VN,GenAI shock,GenAI shock,1,0.255023
VN,GenAI shock,GenAI shock,2,0.937224
VN,GenAI shock,GenAI shock,3,0.182778
VN,GenAI shock,GenAI shock,4,0.082666
VN,GenAI shock,GenAI shock,5,0.13217
VN,GenAI shock,Job Insecurity,1,0.000193
VN,GenAI shock,Job Insecurity,2,0.016819
VN,GenAI shock,Job Insecurity,3,0.76789
VN,GenAI shock,Job Insecurity,4,0.183613
VN,GenAI shock,Job Insecurity,5,0.111841
VN,GenAI shock,Burnout (MDI),1,0.010749
VN,GenAI shock,Burnout (MDI),2,0.005622
VN,GenAI shock,Burnout (MDI),3,0.021559
VN,GenAI shock,Burnout (MDI),4,0.716817
VN,GenAI shock,Burnout (MDI),5,0.242529
VN,GenAI shock,Job Quitting,1,0.013779
VN,GenAI shock,Job Quitting,2,0.039609
VN,GenAI shock,Job Quitting,3,6.5e-05
VN,GenAI shock,Job Quitting,4,0.007418
VN,GenAI shock,Job Quitting,5,0.49956
VN,Job Insecurity,AI Volatility,1,0.707942
VN,Job Insecurity,AI Volatility,2,0.004466
VN,Job Insecurity,AI Volatility,3,0.034625
VN,Job Insecurity,AI Volatility,4,0.010881
VN,Job Insecurity,AI Volatility,5,0.023793
VN,Job Insecurity,GenAI shock,1,0.238092
VN,Job Insecurity,GenAI shock,2,0.905517
VN,Job Insecurity,GenAI shock,3,0.185064
VN,Job Insecurity,GenAI shock,4,0.090807
VN,Job Insecurity,GenAI shock,5,0.115793
VN,Job Insecurity,Job Insecurity,1,0.019707
VN,Job Insecurity,Job Insecurity,2,0.029248
VN,Job Insecurity,Job Insecurity,3,0.757308
VN,Job Insecurity,Job Insecurity,4,0.188655
VN,Job Insecurity,Job Insecurity,5,0.098404
VN,Job Insecurity,Burnout (MDI),1,0.010441
VN,Job Insecurity,Burnout (MDI),2,0.006879
VN,Job Insecurity,Burnout (MDI),3,0.022713
VN,Job Insecurity,Burnout (MDI),4,0.70077
VN,Job Insecurity,Burnout (MDI),5,0.231349
VN,Job Insecurity,Job Quitting,1,0.023818
VN,Job Insecurity,Job Quitting,2,0.05389
VN,Job Insecurity,Job Quitting,3,0.000289
VN,Job Insecurity,Job Quitting,4,0.008887
VN,Job Insecurity,Job Quitting,5,0.53066
