country,shock,response,week,irf,irf_units
VN,AI Volatility,AI Volatility,0,1.0,standardized (σ)
VN,AI Volatility,AI Volatility,1,0.8249943,standardized (σ)
VN,AI Volatility,AI Volatility,2,0.7533162,standardized (σ)
VN,AI Volatility,AI Volatility,3,0.4724761,standardized (σ)
VN,AI Volatility,AI Volatility,4,0.3690831,standardized (σ)
VN,AI Volatility,AI Volatility,5,0.1792542,standardized (σ)
VN,AI Volatility,AI Volatility,6,0.0755779,standardized (σ)
VN,AI Volatility,AI Volatility,7,-0.016657,standardized (σ)
VN,AI Volatility,AI Volatility,8,-0.0357307,standardized (σ)
VN,AI Volatility,AI Volatility,9,-0.0448804,standardized (σ)
VN,AI Volatility,AI Volatility,10,-0.044467,standardized (σ)
VN,AI Volatility,AI Volatility,11,-0.0462948,standardized (σ)
VN,AI Volatility,AI Volatility,12,-0.041024,standardized (σ)
VN,AI Volatility,AI Volatility,13,-0.0350162,standardized (σ)
VN,AI Volatility,AI Volatility,14,-0.0303019,standardized (σ)
VN,AI Volatility,AI Volatility,15,-0.0252853,standardized (σ)
VN,AI Volatility,AI Volatility,16,-0.0199944,standardized (σ)
VN,AI Volatility,AI Volatility,17,-0.0150649,standardized (σ)
VN,AI Volatility,AI Volatility,18,-0.0119139,standardized (σ)
VN,AI Volatility,AI Volatility,19,-0.0093366,standardized (σ)
VN,AI Volatility,AI Volatility,20,-0.0073766,standardized (σ)
VN,AI Volatility,AI Volatility,21,-0.0055612,standardized (σ)
VN,AI Volatility,AI Volatility,22,-0.0042895,standardized (σ)
VN,AI Volatility,AI Volatility,23,-0.0032109,standardized (σ)
VN,AI Volatility,AI Volatility,24,-0.0024371,standardized (σ)
VN,AI Volatility,AI Volatility,25,-0.0017811,standardized (σ)
VN,AI Volatility,AI Volatility,26,-0.0013341,standardized (σ)
VN,AI Volatility,GenAI Shock,0,0.0,standardized (σ)
VN,AI Volatility,GenAI Shock,1,-0.0558288,standardized (σ)
VN,AI Volatility,GenAI Shock,2,-0.0049145,standardized (σ)
VN,AI Volatility,GenAI Shock,3,0.1120833,standardized (σ)
VN,AI Volatility,GenAI Shock,4,-0.0898251,standardized (σ)
VN,AI Volatility,GenAI Shock,5,-0.163025,standardized (σ)
VN,AI Volatility,GenAI Shock,6,-0.1850816,standardized (σ)
VN,AI Volatility,GenAI Shock,7,-0.0889749,standardized (σ)
VN,AI Volatility,GenAI Shock,8,-0.0272005,standardized (σ)
VN,AI Volatility,GenAI Shock,9,0.0117596,standardized (σ)
