country,shock,response,horizon_week,irf_value
VN,AI Volatility,AI Volatility,0,1.0
VN,AI Volatility,AI Volatility,1,0.427037
VN,AI Volatility,AI Volatility,2,0.479584
VN,AI Volatility,AI Volatility,3,0.255501
VN,AI Volatility,AI Volatility,4,0.212121
VN,AI Volatility,AI Volatility,5,0.131456
VN,AI Volatility,AI Volatility,6,0.090995
VN,AI Volatility,AI Volatility,7,0.052881
VN,AI Volatility,AI Volatility,8,0.02818
VN,AI Volatility,AI Volatility,9,0.011161
VN,AI Volatility,AI Volatility,10,-0.000616
VN,AI Volatility,AI Volatility,11,-0.007634
VN,AI Volatility,AI Volatility,12,-0.012006
VN,AI Volatility,AI Volatility,13,-0.013862
VN,AI Volatility,AI Volatility,14,-0.014438
VN,AI Volatility,AI Volatility,15,-0.01392
VN,AI Volatility,AI Volatility,16,-0.012885
VN,AI Volatility,AI Volatility,17,-0.011489
VN,AI Volatility,AI Volatility,18,-0.009989
VN,AI Volatility,AI Volatility,19,-0.008478
VN,AI Volatility,AI Volatility,20,-0.007054
VN,AI Volatility,AI Volatility,21,-0.005758
VN,AI Volatility,AI Volatility,22,-0.004616
VN,AI Volatility,AI Volatility,23,-0.003632
VN,AI Volatility,AI Volatility,24,-0.002805
VN,AI Volatility,AI Volatility,25,-0.002122
VN,AI Volatility,AI Volatility,26,-0.001568
VN,AI Volatility,GenAI shock,0,0.0
VN,AI Volatility,GenAI shock,1,0.052375
VN,AI Volatility,GenAI shock,2,-0.096861
VN,AI Volatility,GenAI shock,3,-0.052516
VN,AI Volatility,GenAI shock,4,-0.041687
VN,AI Volatility,GenAI shock,5,-0.030327
VN,AI Volatility,GenAI shock,6,-0.030194
VN,AI Volatility,GenAI shock,7,-0.027457
VN,AI Volatility,GenAI shock,8,-0.021526
VN,AI Volatility,GenAI shock,9,-0.018472
VN,AI Volatility,GenAI shock,10,-0.014962
VN,AI Volatility,GenAI shock,11,-0.012582
VN,AI Volatility,GenAI shock,12,-0.009957
VN,AI Volatility,GenAI shock,13,-0.008028
VN,AI Volatility,GenAI shock,14,-0.006265
VN,AI Volatility,GenAI shock,15,-0.004894
VN,AI Volatility,GenAI shock,16,-0.00372
VN,AI Volatility,GenAI shock,17,-0.002798
VN,AI Volatility,GenAI shock,18,-0.002051
VN,AI Volatility,GenAI shock,19,-0.001472
VN,AI Volatility,GenAI shock,20,-0.001021
VN,AI Volatility,GenAI shock,21,-0.00068
VN,AI Volatility,GenAI shock,22,-0.000425
VN,AI Volatility,GenAI shock,23,-0.000239
VN,AI Volatility,GenAI shock,24,-0.000107
VN,AI Volatility,GenAI shock,25,-1.6e-05
VN,AI Volatility,GenAI shock,26,4.3e-05
VN,AI Volatility,Job Insecurity,0,0.0
VN,AI Volatility,Job Insecurity,1,1.238034
VN,AI Volatility,Job Insecurity,2,0.901453
VN,AI Volatility,Job Insecurity,3,1.368014
VN,AI Volatility,Job Insecurity,4,1.151136
VN,AI Volatility,Job Insecurity,5,1.216509
VN,AI Volatility,Job Insecurity,6,1.050555
VN,AI Volatility,Job Insecurity,7,0.954438
VN,AI Volatility,Job Insecurity,8,0.808148
VN,AI Volatility,Job Insecurity,9,0.688533
VN,AI Volatility,Job Insecurity,10,0.566227
VN,AI Volatility,Job Insecurity,11,0.460883
VN,AI Volatility,Job Insecurity,12,0.366873
VN,AI Volatility,Job Insecurity,13,0.287429
VN,AI Volatility,Job Insecurity,14,0.22067
VN,AI Volatility,Job Insecurity,15,0.16592
VN,AI Volatility,Job Insecurity,16,0.121775
VN,AI Volatility,Job Insecurity,17,0.086785
VN,AI Volatility,Job Insecurity,18,0.059596
VN,AI Volatility,Job Insecurity,19,0.038846
VN,AI Volatility,Job Insecurity,20,0.023377
VN,AI Volatility,Job Insecurity,21,0.012122
VN,AI Volatility,Job Insecurity,22,0.004193
