date,SHOCK_Index,VOL_Base_Index,MDI_Index,LEARN_Index,ESCAPE_Index
2021-12-26,0.0,0.0,8.2,0.4,14.6
2022-01-02,0.0,0.0,12.4,0.8,20.4
2022-01-09,0.0,0.0,11.4,0.8,20.0
2022-01-16,0.0,0.0,11.8,0.8,19.0
2022-01-23,0.0,0.0,15.6,0.8,20.6
2022-01-30,0.0,0.0,14.4,0.6,20.8
2022-02-06,0.0,0.0,16.8,0.8,21.6
2022-02-13,0.0,0.0,14.8,0.8,20.2
2022-02-20,0.0,0.0,15.8,0.8,19.0
2022-02-27,0.0,0.0,15.8,0.8,20.0
2022-03-06,0.0,0.0,15.6,0.8,19.6
2022-03-13,0.0,0.0,15.2,0.6,19.2
2022-03-20,0.0,0.2,16.2,0.8,20.4
2022-03-27,0.0,0.0,16.8,0.6,20.2
2022-04-03,0.0,0.0,17.8,0.6,21.0
2022-04-10,0.0,0.0,15.8,0.8,19.0
2022-04-17,0.0,0.0,17.2,0.8,20.6
2022-04-24,0.0,0.4,18.0,1.0,19.0
2022-05-01,0.0,0.8,18.0,0.8,19.2
2022-05-08,0.0,2.6,16.4,0.6,18.2
2022-05-15,0.0,1.8,14.0,1.0,18.4
2022-05-22,0.0,2.4,13.2,1.0,17.0
2022-05-29,0.0,2.2,12.8,0.6,17.4
2022-06-05,0.0,2.6,13.8,0.6,18.2
2022-06-12,0.0,3.6,13.8,1.2,18.0
2022-06-19,0.0,1.8,13.2,0.8,19.4
2022-06-26,0.0,1.8,12.8,0.8,17.8
2022-07-03,0.0,1.4,12.8,0.6,16.6
2022-07-10,0.2,1.6,14.0,1.0,18.6
2022-07-17,0.0,1.4,13.6,0.8,18.4
2022-07-24,0.0,1.8,14.4,0.8,18.4
2022-07-31,0.2,2.4,14.2,1.0,18.4
2022-08-07,0.2,1.6,13.0,0.6,18.4
2022-08-14,0.2,1.0,13.8,1.2,19.2
2022-08-21,0.2,1.2,13.6,1.0,18.6
2022-08-28,0.2,1.0,13.8,1.0,17.6
2022-09-04,0.2,0.8,13.0,0.8,17.2
2022-09-11,0.2,0.8,14.8,1.2,18.2
2022-09-18,0.2,1.2,14.6,1.0,18.2
2022-09-25,0.0,0.8,15.0,0.8,16.4
2022-10-02,0.0,1.0,15.2,1.2,18.0
2022-10-09,0.0,1.4,15.0,1.0,19.6
2022-10-16,0.0,1.4,15.2,1.2,18.6
2022-10-23,0.0,1.6,15.4,1.0,17.6
2022-10-30,0.0,4.6,15.4,1.2,18.2
2022-11-06,0.0,13.0,15.2,1.2,16.8
2022-11-13,0.0,13.2,15.8,1.0,16.6
2022-11-20,0.0,5.2,11.8,0.8,12.8
