,SHOCK_Index,VOL_Base_Index,MDI_Index,LEARN_Index,ESCAPE_Index,IIP_sa,INFL_sa,EXR
2022-01-09,0.0,0.0,11.4,0.6,20.0,100.82224539820076,0.08432221407017604,107.81181999999998
2022-01-16,0.0,0.0,12.2,0.8,19.6,100.80751045239657,0.08425117161687812,106.92811999999999
2022-01-23,0.0,0.0,15.4,0.8,21.4,100.79277550659236,0.08418024877105967,107.032325
2022-01-30,0.0,0.0,14.4,0.8,21.2,100.77804056078817,0.08410944523078445,108.15075999999999
2022-02-06,0.0,0.0,16.6,0.8,22.4,100.76330561498398,0.08403876069540406,107.80430000000001
2022-02-13,0.0,0.0,14.6,0.6,20.2,100.88918276606206,0.3013254693393197,107.32683999999999
2022-02-20,0.0,0.0,15.8,0.6,19.2,101.01505991714015,0.3004202266813083,107.76114
2022-02-27,0.0,0.0,16.2,0.8,20.4,101.14093706821824,0.2995204067962165,108.223025
2022-03-06,0.0,0.0,16.0,0.8,20.0,101.26681421929632,0.29862596110272754,108.90986000000001
2022-03-13,0.0,0.0,15.2,0.6,19.6,101.24000294556137,0.08018926291541995,110.02108000000001
2022-03-20,0.0,0.0,16.0,0.6,20.4,101.21319167182644,0.0801250112594909,109.83482
2022-03-27,0.0,0.0,16.6,0.8,20.4,101.1863803980915,0.08006086248442124,109.51482000000001
2022-04-03,0.0,0.0,17.6,0.6,20.8,101.15956912435655,0.07999681634327516,109.29598000000001
2022-04-10,0.0,0.0,15.8,1.0,19.2,101.12965557631605,0.2267192079857372,110.15534
2022-04-17,0.0,0.0,17.2,0.8,20.8,101.09974202827554,0.22620635472985207,111.02083999999999
2022-04-24,0.0,0.4,17.8,1.0,19.2,101.06982848023503,0.22569581645068837,111.51187999999999
2022-05-01,0.0,0.8,18.0,0.8,19.4,101.03991493219453,0.22518757750911167,113.7064
2022-05-08,0.0,2.6,16.2,0.6,18.8,101.00843721876214,0.22075335775391114,114.46302
2022-05-15,0.0,1.8,13.8,0.8,18.6,100.97695950532973,0.22026711071101435,115.30248000000002
2022-05-22,0.0,2.4,13.2,1.2,17.0,100.94548179189734,0.2197830010447488,114.43122000000001
2022-05-29,0.0,2.0,12.6,1.0,17.0,100.91400407846493,0.21930101469336272,113.01604
2022-06-05,0.0,2.6,13.4,0.6,18.0,100.88252636503253,0.21882113771796163,112.765225
2022-06-12,0.0,3.4,13.6,1.0,18.0,100.90703815085956,0.011448187703622104,113.45428
2022-06-19,0.0,1.6,13.2,0.6,19.6,100.93154993668658,0.011446877243614928,115.85763999999999
2022-06-26,0.0,1.8,13.2,0.8,18.4,100.9560617225136,0.011445567083634423,115.234625
2022-07-03,0.0,1.2,12.6,0.6,17.0,100.98057350834063,0.011444257223480747,115.39616000000001
