,SHOCK_Index,VOL_Base_Index,MDI_Index,LEARN_Index,ESCAPE_Index,IIP_sa,INFL_sa,EXR
2022-01-09,0.0,12.8,21.8,27.4,18.4,170.521062633547,0.08479962412135666,22710.0
2022-01-16,0.0,6.6,17.6,18.4,15.4,170.20490529088966,0.0847277752863862,22645.0
2022-01-23,0.0,4.8,11.6,11.8,17.0,169.88874794823232,0.08465604810019567,22630.0
2022-01-30,0.0,0.0,9.4,5.0,7.8,169.572590605575,0.08458444225407646,22645.0
2022-02-06,0.0,0.0,13.2,12.6,22.6,169.25643326291765,0.08451295744038578,22680.0
2022-02-13,0.0,2.2,15.4,16.6,21.6,169.6308199179293,0.16536433926002125,22785.0
2022-02-20,0.0,6.6,17.6,17.8,23.2,170.00520657294095,0.1650913370613294,22840.0
2022-02-27,0.0,7.2,18.4,21.4,25.8,170.3795932279526,0.16481923478286475,22835.0
2022-03-06,0.0,14.0,22.2,26.0,25.6,170.75397988296425,0.16454802798229196,22835.0
2022-03-13,0.2,16.0,31.4,30.2,29.0,171.02567605137918,0.18717050879364372,22865.0
2022-03-20,0.0,10.4,27.8,26.2,28.4,171.2973722197941,0.18682083528569482,22869.0
2022-03-27,0.0,12.2,21.8,23.0,26.0,171.56906838820902,0.1864724658673822,22838.0
2022-04-03,0.0,10.0,21.6,20.8,24.0,171.84076455662395,0.18612539325697508,22859.0
2022-04-10,0.0,5.2,22.0,21.0,23.2,171.70954096250972,0.12403426293408071,22900.0
2022-04-17,0.0,9.6,23.0,22.8,23.6,171.57831736839552,0.12388060853436578,22962.0
2022-04-24,0.0,9.6,22.0,22.8,23.8,171.4470937742813,0.12372733435963568,22956.0
2022-05-01,0.0,8.6,21.0,22.8,23.0,171.31587018016708,0.12357443900030685,22955.0
2022-05-08,0.0,8.4,22.4,21.6,24.0,170.74234963820905,0.10739008786178061,23096.0
2022-05-15,0.0,2.0,21.0,15.6,20.0,170.168829096251,0.10727488526824924,23140.0
2022-05-22,0.0,0.0,18.6,11.6,18.2,169.59530855429296,0.10715992957672782,23205.0
2022-05-29,0.0,3.0,16.0,12.0,21.0,169.0217880123349,0.10704521999436167,23193.0
