Date,EXR
2022-01-02,22745.0
2022-01-09,22710.0
2022-01-16,22645.0
2022-01-23,22630.0
2022-01-30,22645.0
2022-02-06,22680.0
2022-02-13,22785.0
2022-02-20,22840.0
2022-02-27,22835.0
2022-03-06,22835.0
2022-03-13,22865.0
2022-03-20,22869.0
2022-03-27,22838.0
2022-04-03,22859.0
2022-04-10,22900.0
2022-04-17,22962.0
2022-04-24,22956.0
2022-05-01,22955.0
2022-05-08,23096.0
2022-05-15,23140.0
2022-05-22,23205.0
2022-05-29,23193.0
2022-06-05,23155.0
2022-06-12,23232.0
2022-06-19,23244.0
2022-06-26,23255.0
2022-07-03,23350.0
2022-07-10,23415.0
2022-07-17,23410.0
2022-07-24,23358.0
2022-07-31,23393.0
2022-08-07,23390.0
2022-08-14,23401.0
2022-08-21,23423.0
2022-08-28,23450.0
2022-09-04,23542.0
2022-09-11,23620.0
2022-09-18,23700.0
2022-09-25,23820.0
2022-10-02,23870.0
2022-10-09,24120.0
2022-10-16,24530.0
2022-10-23,24830.0
2022-10-30,24860.0
2022-11-06,24865.0
2022-11-13,24805.0
2022-11-20,24833.0
2022-11-27,24500.0
2022-12-04,23780.0
2022-12-11,23500.0
2022-12-18,23630.0
2022-12-25,23600.0
2023-01-01,23475.0
2023-01-08,23438.0
2023-01-15,23440.0
2023-01-22,23440.0
2023-01-29,23449.0
2023-02-05,23560.0
2023-02-12,23680.0
2023-02-19,23815.0
2023-02-26,23700.0
2023-03-05,23680.0
2023-03-12,23560.0
2023-03-19,23490.0
2023-03-26,23470.0
2023-04-02,23451.0
2023-04-09,23440.0
2023-04-16,23488.0
2023-04-23,23445.0
2023-04-30,23445.0
2023-05-07,23465.0
2023-05-14,23450.0
2023-05-21,23470.0
2023-05-28,23485.0
2023-06-04,23490.0
2023-06-11,23525.0
2023-06-18,23515.0
2023-06-25,23569.0
2023-07-02,23710.0
2023-07-09,23665.0
2023-07-16,23647.0
2023-07-23,23661.0
2023-07-30,23750.0
2023-08-06,23740.0
2023-08-13,23850.0
2023-08-20,23900.0
2023-08-27,24060.0
2023-09-03,24060.0
2023-09-10,24220.0
2023-09-17,24310.0
2023-09-24,24385.0
2023-10-01,24380.0
2023-10-08,24435.0
2023-10-15,24550.0
2023-10-22,24604.0
2023-10-29,24570.0
2023-11-05,24340.0
2023-11-12,24288.0
2023-11-19,24240.0
2023-11-26,24250.0
2023-12-03,24275.0
2023-12-10,24245.0
2023-12-17,24320.0
2023-12-24,24235.0
2023-12-31,24360.0
2024-01-07,24475.0
2024-01-14,24545.0
2024-01-21,24605.0
2024-01-28,24400.0
2024-02-04,24400.0
2024-02-11,24450.0
2024-02-18,24590.0
2024-02-25,24640.0
2024-03-03,24680.0
2024-03-10,24690.0
2024-03-17,24785.0
2024-03-24,24790.0
2024-03-31,24935.0
2024-04-07,24980.0
2024-04-14,25400.0
2024-04-21,25350.0
2024-04-28,25390.0
2024-05-05,25440.0
2024-05-12,25431.0
2024-05-19,25469.0
2024-05-26,25450.0
2024-06-02,25420.0
2024-06-09,25435.0
2024-06-16,25450.0
2024-06-23,25455.0
2024-06-30,25450.0
2024-07-07,25420.0
2024-07-14,25310.0
2024-07-21,25285.0
2024-07-28,25215.0
2024-08-04,25135.0
2024-08-11,25035.0
2024-08-18,24960.0
2024-08-25,24870.0
2024-09-01,24730.0
2024-09-08,24575.0
2024-09-15,24565.0
2024-09-22,24615.0
2024-09-29,24745.0
2024-10-06,24830.0
2024-10-13,25180.0
2024-10-20,25385.0
2024-10-27,25270.0
2024-11-03,25350.0
2024-11-10,25390.0
2024-11-17,25415.0
2024-11-24,25358.0
2024-12-01,25393.0
2024-12-08,25394.0
2024-12-15,25450.0
2024-12-22,25425.0
2024-12-29,25450.0
2025-01-05,25375.0
2025-01-12,25370.0
2025-01-19,25080.0
2025-01-26,25060.0
2025-02-02,25260.0
2025-02-09,25440.0
2025-02-16,25500.0
2025-02-23,25520.0
2025-03-02,25485.0
2025-03-09,25490.0
2025-03-16,25545.0
2025-03-23,25560.0
2025-03-30,25600.0
2025-04-06,25720.0
2025-04-13,25830.0
2025-04-20,26026.0
2025-04-27,25980.0
2025-05-04,25959.0
2025-05-11,25920.0
2025-05-18,25973.0
2025-05-25,25996.0
2025-06-01,26056.0
2025-06-08,26020.0
2025-06-15,26123.0
2025-06-22,26100.0
2025-06-29,26175.0
2025-07-06,26100.0
2025-07-13,26135.0
2025-07-20,26110.0
2025-07-27,26197.0
2025-08-03,26190.0
2025-08-10,26230.0
2025-08-17,26405.0
2025-08-24,26360.0
2025-08-31,26360.0
2025-09-07,26375.0
2025-09-14,26355.0
2025-09-21,26380.0
2025-09-28,26393.0
2025-10-05,26346.0
2025-10-12,26310.0
2025-10-19,26312.0
2025-10-26,26315.0
2025-11-02,26285.0
2025-11-09,26320.0
2025-11-16,26366.0
2025-11-23,26372.0
2025-11-30,26340.0
2025-12-07,26300.0
2025-12-14,26285.0
2025-12-21,26277.0
2025-12-28,26295.0
2026-01-04,26230.0
2026-01-11,26230.0
2026-01-18,26267.0
2026-01-25,25950.0
2026-02-01,25940.0
2026-02-08,25910.0
2026-02-15,25920.0
2026-02-22,26030.0
2026-03-01,26030.0
