date,SHOCK_Index,VOL_Base_Index,MDI_Index,LEARN_Index,ESCAPE_Index
2021-12-26,0.2,29.2,25.2,28.4,20.6
2022-01-02,0.2,23.2,25.8,37.0,22.6
2022-01-09,0.0,13.0,21.0,23.4,17.8
2022-01-16,0.0,10.2,17.6,16.6,15.2
2022-01-23,0.0,0.0,12.4,10.0,16.6
2022-01-30,0.0,0.0,7.6,4.4,7.2
2022-02-06,0.0,0.0,14.2,10.6,21.8
2022-02-13,0.0,5.4,15.8,14.6,21.2
2022-02-20,0.0,7.6,17.0,15.2,22.2
2022-02-27,0.0,7.6,18.6,18.4,25.2
2022-03-06,0.0,14.2,22.8,22.2,25.2
2022-03-13,0.2,19.4,31.0,26.6,28.0
2022-03-20,0.0,15.6,26.6,23.0,27.6
2022-03-27,0.0,15.2,21.8,19.8,26.0
2022-04-03,0.0,9.2,21.6,17.8,23.2
2022-04-10,0.0,5.6,21.2,18.0,22.8
2022-04-17,0.0,11.4,22.6,19.8,23.4
2022-04-24,0.0,9.6,22.2,19.8,23.0
2022-05-01,0.0,10.0,21.4,20.0,22.6
2022-05-08,0.0,10.2,22.0,18.6,23.2
2022-05-15,0.0,5.4,21.4,13.6,19.8
2022-05-22,0.0,4.8,17.4,10.4,18.0
2022-05-29,0.0,2.2,16.0,10.4,20.4
2022-06-05,0.0,2.8,17.6,10.2,19.2
2022-06-12,0.0,6.2,19.6,9.4,17.0
2022-06-19,0.0,0.0,18.6,9.0,18.6
2022-06-26,0.0,0.0,15.6,8.6,18.2
2022-07-03,0.0,0.0,13.8,8.0,17.2
2022-07-10,0.0,0.0,16.0,7.4,17.2
2022-07-17,0.0,0.0,17.4,6.8,17.0
2022-07-24,0.0,2.2,17.2,6.8,17.6
2022-07-31,0.0,0.0,16.6,7.2,16.8
2022-08-07,0.0,0.0,14.2,6.6,15.6
2022-08-14,0.0,0.0,18.0,7.0,17.2
2022-08-21,0.0,0.0,16.2,6.8,17.0
2022-08-28,0.0,0.0,16.4,5.6,15.4
2022-09-04,0.0,0.0,17.0,7.8,17.2
2022-09-11,0.0,2.2,16.2,10.8,17.4
2022-09-18,0.0,8.0,21.4,10.8,17.6
2022-09-25,0.0,7.0,18.0,11.0,18.6
2022-10-02,0.0,3.2,17.0,11.2,19.2
2022-10-09,0.0,5.8,22.0,13.2,18.2
2022-10-16,0.0,24.6,19.6,13.8,16.6
2022-10-23,0.0,28.4,22.4,18.6,19.8
2022-10-30,0.0,22.8,23.4,20.8,21.4
2022-11-06,0.0,22.2,23.2,17.0,20.2
2022-11-13,0.0,14.8,20.4,11.8,18.2
2022-11-20,0.0,9.6,16.6,10.8,14.2
2022-11-27,0.0,12.2,15.0,10.4,15.8
2022-12-04,0.2,9.4,14.8,12.0,16.2
2022-12-11,0.2,12.2,17.2,15.4,17.0
2022-12-18,0.2,13.4,23.0,20.2,18.4
2022-12-25,0.2,14.2,19.6,20.8,19.0
2023-01-01,0.2,11.2,17.6,12.4,16.8
2023-01-08,0.4,2.4,13.6,7.4,16.4
2023-01-15,0.4,0.0,8.4,4.0,19.8
2023-01-22,0.6,0.0,12.8,4.8,15.6
2023-01-29,5.6,7.0,13.8,9.2,25.0
2023-02-05,4.2,11.6,17.2,11.0,21.8
2023-02-12,2.0,10.0,16.6,11.0,20.8
2023-02-19,1.4,14.6,23.6,12.6,23.4
2023-02-26,1.2,10.2,22.6,13.2,26.4
2023-03-05,1.0,11.0,22.8,15.2,23.8
2023-03-12,1.2,14.4,28.2,17.4,25.4
2023-03-19,1.0,11.2,23.6,16.2,28.2
2023-03-26,1.0,16.0,23.2,15.0,27.0
2023-04-02,1.0,10.6,21.4,14.6,23.2
2023-04-09,1.0,9.6,23.0,14.6,23.2
2023-04-16,1.0,12.0,28.4,16.8,24.4
2023-04-23,1.0,11.8,27.6,18.2,24.2
2023-04-30,0.8,12.4,21.8,15.4,22.4
2023-05-07,0.8,13.0,23.0,17.4,23.8
2023-05-14,0.8,9.6,24.8,13.0,21.8
2023-05-21,1.0,9.0,17.8,12.0,20.0
2023-05-28,0.8,6.4,16.8,11.2,20.2
2023-06-04,0.8,7.4,19.6,11.6,19.0
2023-06-11,0.8,5.2,16.6,11.0,19.6
2023-06-18,0.8,3.0,17.2,10.6,18.2
2023-06-25,0.8,3.0,17.2,8.8,19.8
2023-07-02,0.6,3.0,16.6,7.4,19.2
2023-07-09,0.8,3.6,18.4,7.2,18.6
2023-07-16,0.8,3.0,13.6,7.8,17.4
2023-07-23,0.8,3.6,17.0,7.2,18.2
2023-07-30,0.6,3.0,15.6,6.2,18.6
2023-08-06,0.6,6.6,23.0,7.0,18.4
2023-08-13,0.6,3.0,19.4,7.2,18.8
2023-08-20,0.8,0.0,17.8,8.6,17.8
2023-08-27,0.6,0.0,12.4,7.2,18.0
2023-09-03,0.6,2.6,17.8,8.6,18.6
2023-09-10,0.8,6.0,17.2,10.6,18.0
2023-09-17,1.0,3.2,20.6,11.2,17.6
2023-09-24,1.0,7.4,17.4,11.2,17.8
2023-10-01,1.0,8.4,18.8,11.6,18.6
2023-10-08,1.0,5.8,20.4,13.6,17.8
2023-10-15,1.0,7.4,21.8,13.8,18.2
2023-10-22,1.2,8.4,22.2,16.2,19.0
2023-10-29,1.2,16.0,25.0,16.6,20.2
2023-11-05,1.2,7.2,22.0,14.4,18.4
2023-11-12,1.0,7.8,21.6,11.4,16.8
2023-11-19,1.0,2.8,20.8,11.0,16.6
2023-11-26,1.0,9.6,21.2,11.4,17.2
2023-12-03,1.4,6.2,18.2,12.2,16.4
2023-12-10,1.2,10.4,22.6,14.4,17.4
2023-12-17,1.2,7.6,20.6,15.4,17.4
2023-12-24,1.0,7.2,22.2,15.4,17.0
2023-12-31,1.0,0.0,19.2,11.6,16.4
2024-01-07,1.0,3.4,15.4,9.2,15.2
2024-01-14,1.0,0.0,14.6,9.0,15.8
2024-01-21,1.0,3.2,16.8,10.4,15.8
2024-01-28,1.0,3.4,15.8,8.0,18.8
2024-02-04,0.8,4.8,7.8,3.6,15.0
2024-02-11,1.0,0.0,10.8,5.2,18.0
2024-02-18,1.8,10.8,19.4,10.6,23.4
2024-02-25,2.0,0.0,18.2,13.0,24.2
2024-03-03,2.8,11.6,21.6,14.2,20.6
2024-03-10,2.6,14.2,22.6,17.0,24.0
2024-03-17,3.0,10.0,26.2,17.4,28.0
2024-03-24,2.8,9.4,22.8,13.8,23.6
2024-03-31,2.8,4.2,22.2,13.0,21.8
2024-04-07,3.2,8.0,21.8,14.6,22.8
2024-04-14,2.6,8.2,22.2,15.0,22.6
2024-04-21,2.6,8.8,24.4,16.8,26.8
2024-04-28,2.2,9.0,18.8,15.0,25.4
2024-05-05,2.8,7.2,24.0,19.4,26.6
2024-05-12,3.4,7.6,22.0,14.6,24.8
2024-05-19,3.4,4.2,19.4,12.2,20.6
2024-05-26,3.0,0.0,23.6,11.6,20.4
2024-06-02,3.2,0.0,19.0,11.0,20.2
2024-06-09,3.0,6.0,23.6,11.6,20.4
2024-06-16,2.8,5.2,18.0,10.0,17.2
2024-06-23,3.0,2.6,15.8,8.8,19.0
2024-06-30,3.0,0.0,18.0,7.4,17.8
2024-07-07,3.0,4.4,17.8,7.6,17.8
2024-07-14,2.8,0.0,18.6,9.0,17.4
2024-07-21,3.0,7.4,15.6,8.4,17.8
2024-07-28,3.0,0.0,19.0,7.6,20.0
2024-08-04,3.0,2.8,20.6,8.2,18.8
2024-08-11,3.6,0.0,17.6,8.8,18.4
2024-08-18,3.8,0.0,17.6,9.6,17.6
2024-08-25,3.8,0.0,18.8,9.0,20.2
2024-09-01,3.2,0.0,16.0,8.6,17.2
2024-09-08,5.0,10.0,17.2,13.0,18.8
2024-09-15,5.6,4.4,20.8,14.0,18.2
2024-09-22,6.2,3.6,21.2,13.4,20.0
2024-09-29,6.2,8.4,21.4,14.2,19.4
2024-10-06,6.8,9.4,20.8,14.8,18.6
2024-10-13,7.2,9.6,25.6,16.4,19.4
2024-10-20,7.2,13.4,27.8,20.6,19.4
2024-10-27,8.0,19.2,26.8,23.6,22.2
2024-11-03,7.8,10.4,29.8,21.6,20.6
2024-11-10,7.4,4.4,24.4,16.6,18.6
2024-11-17,7.6,9.8,24.0,13.8,17.6
2024-11-24,7.8,10.0,25.2,15.0,19.2
2024-12-01,7.6,11.8,21.4,15.0,19.2
2024-12-08,8.8,8.4,24.6,17.6,18.8
2024-12-15,8.4,15.0,19.8,19.6,18.8
2024-12-22,7.8,11.6,25.4,21.6,21.6
2024-12-29,6.4,9.0,27.2,17.8,21.0
2025-01-05,6.4,6.2,18.2,14.4,18.6
2025-01-12,6.2,4.8,18.8,11.0,19.2
2025-01-19,4.4,0.0,12.8,7.0,22.0
2025-01-26,3.2,0.0,7.8,3.8,10.6
2025-02-02,5.8,7.6,15.4,9.8,24.2
2025-02-09,7.4,16.6,17.6,13.0,26.0
2025-02-16,8.2,21.2,20.0,13.2,22.8
2025-02-23,9.2,14.6,18.6,13.6,24.6
2025-03-02,9.2,11.2,19.8,15.4,24.2
2025-03-09,9.8,10.8,24.6,17.6,25.4
2025-03-16,10.4,13.2,23.0,18.0,29.4
2025-03-23,12.0,7.6,22.4,16.2,28.6
2025-03-30,13.8,11.2,20.8,13.4,24.4
2025-04-06,14.2,9.8,23.0,13.0,20.8
2025-04-13,13.6,9.2,19.4,14.8,21.4
2025-04-20,12.4,13.0,21.4,15.6,23.6
2025-04-27,9.2,8.2,15.4,13.4,17.8
2025-05-04,12.0,7.0,20.4,17.8,25.2
2025-05-11,11.8,13.2,20.2,13.6,21.2
2025-05-18,14.4,2.8,17.0,11.8,20.4
2025-05-25,15.2,3.0,20.0,11.0,19.2
2025-06-01,16.0,6.8,15.4,10.8,19.4
2025-06-08,13.6,3.8,17.2,11.2,19.0
2025-06-15,11.4,5.8,19.2,11.6,18.2
2025-06-22,11.2,2.6,17.2,11.8,19.6
2025-06-29,12.0,5.2,17.6,11.0,21.6
2025-07-06,12.8,0.0,16.4,10.8,22.8
2025-07-13,14.0,7.0,18.4,14.0,21.8
2025-07-20,13.8,4.6,19.6,13.4,21.6
2025-07-27,13.8,4.6,19.4,13.0,23.4
2025-08-03,16.8,10.4,18.6,13.6,27.0
2025-08-10,16.4,7.2,21.2,13.0,26.0
2025-08-17,15.2,5.2,21.2,13.8,24.2
2025-08-24,14.4,6.6,23.2,14.0,21.6
2025-08-31,15.2,9.4,18.0,11.8,20.0
2025-09-07,18.6,6.2,23.0,17.2,22.4
2025-09-14,23.6,8.8,24.6,16.4,22.6
2025-09-21,28.2,9.2,28.2,18.4,21.6
2025-09-28,26.0,8.2,25.2,17.6,21.6
2025-10-05,25.2,12.0,28.4,18.6,20.2
2025-10-12,24.8,12.4,27.2,19.8,20.8
2025-10-19,24.6,11.6,24.8,21.8,19.6
