variable,country,LjungBox_min_p,ARCH_LM_p,GARCH_omega,GARCH_alpha,GARCH_beta,persistence,winsorized,GJR_gamma,status,ewma_corr_span8,ewma_corr_span12,ewma_corr_span26
l_SHOCK_Index,US,0.7839,0.0164,13.624673,0.4809,0.5191,1.0,True,-0.1333,OK,,,
l_VOL_Base_Index,US,0.113,0.0002,35.259073,0.3326,0.6674,1.0,True,-0.0594,OK,,,
l_MDI_Index,US,0.0,0.0,21.364725,0.456,0.453,0.909,False,0.0448,OK,,,
l_LEARN_Index,US,0.8034,0.1295,,,,,False,,EWMA_PROXY_NO_ARCH,0.9463,0.8739,0.7025
l_ESCAPE_Index,US,0.061,0.0,14.942566,0.4073,0.5081,0.9154,False,0.3556,OK,,,
l_SHOCK_Index,VN,0.8647,0.7947,,,,,False,,EWMA_PROXY_NO_ARCH,0.9455,0.8691,0.6761
l_VOL_Base_Index,VN,0.674,0.01,2690.437612,0.3827,0.2507,0.6333,False,0.6109,OK,,,
l_MDI_Index,VN,0.7452,0.0033,206.417281,0.2143,0.0133,0.2276,False,0.4031,OK,,,
l_LEARN_Index,VN,0.3072,0.0741,,,,,False,,EWMA_PROXY_NO_ARCH,0.9499,0.8852,0.7507
l_ESCAPE_Index,VN,0.7369,0.0,21.829887,0.353,0.5775,0.9305,False,0.031,OK,,,
