country,response,shock,week,share_pct
VN,AI Volatility,AI Volatility,1,100.0
VN,AI Volatility,AI Volatility,2,21.95648
VN,AI Volatility,AI Volatility,3,2e-05
VN,AI Volatility,AI Volatility,4,0.33368
VN,AI Volatility,AI Volatility,5,5.55003
VN,AI Volatility,GenAI Shock,1,0.0
VN,AI Volatility,GenAI Shock,2,78.04352
VN,AI Volatility,GenAI Shock,3,11.21391
VN,AI Volatility,GenAI Shock,4,28.66174
VN,AI Volatility,GenAI Shock,5,10.0852
VN,AI Volatility,Job Insecurity (level),1,0.0
VN,AI Volatility,Job Insecurity (level),2,0.0
VN,AI Volatility,Job Insecurity (level),3,88.78607
VN,AI Volatility,Job Insecurity (level),4,5.19274
VN,AI Volatility,Job Insecurity (level),5,4.3771
VN,AI Volatility,Burnout (MDI),1,0.0
VN,AI Volatility,Burnout (MDI),2,0.0
VN,AI Volatility,Burnout (MDI),3,0.0
VN,AI Volatility,Burnout (MDI),4,65.81184
VN,AI Volatility,Burnout (MDI),5,13.8323
VN,AI Volatility,Job Quitting (level),1,0.0
VN,AI Volatility,Job Quitting (level),2,0.0
VN,AI Volatility,Job Quitting (level),3,0.0
VN,AI Volatility,Job Quitting (level),4,0.0
VN,AI Volatility,Job Quitting (level),5,66.15537
VN,GenAI Shock,AI Volatility,1,96.24371
VN,GenAI Shock,AI Volatility,2,20.10337
VN,GenAI Shock,AI Volatility,3,1.10186
VN,GenAI Shock,AI Volatility,4,0.6519
VN,GenAI Shock,AI Volatility,5,4.57972
VN,GenAI Shock,GenAI Shock,1,0.05773
VN,GenAI Shock,GenAI Shock,2,72.95991
VN,GenAI Shock,GenAI Shock,3,17.35511
VN,GenAI Shock,GenAI Shock,4,23.77445
VN,GenAI Shock,GenAI Shock,5,21.58139
VN,GenAI Shock,Job Insecurity (level),1,3.12423
VN,GenAI Shock,Job Insecurity (level),2,3.95073
VN,GenAI Shock,Job Insecurity (level),3,81.01538
VN,GenAI Shock,Job Insecurity (level),4,4.43591
VN,GenAI Shock,Job Insecurity (level),5,6.65184
VN,GenAI Shock,Burnout (MDI),1,0.22589
VN,GenAI Shock,Burnout (MDI),2,0.06739
VN,GenAI Shock,Burnout (MDI),3,0.42803
VN,GenAI Shock,Burnout (MDI),4,71.03318
VN,GenAI Shock,Burnout (MDI),5,14.68964
VN,GenAI Shock,Job Quitting (level),1,0.34843
VN,GenAI Shock,Job Quitting (level),2,2.91861
VN,GenAI Shock,Job Quitting (level),3,0.09962
VN,GenAI Shock,Job Quitting (level),4,0.10457
VN,GenAI Shock,Job Quitting (level),5,52.49742
VN,Job Insecurity (level),AI Volatility,1,85.25673
VN,Job Insecurity (level),AI Volatility,2,15.906
VN,Job Insecurity (level),AI Volatility,3,1.56325
VN,Job Insecurity (level),AI Volatility,4,0.64662
